Article,Category,"Name English","Description English","Name French","Description French","Name Dutch","Description Dutch",Status,"Purchase price",Price,"Old price","Tax rate",Units,Inventory,Weight,"EAN code",Condition,Home,"Web address"
"Summer 20 ft. cont. packing list","Afrikaanse markt","Summer 20 ft. cont. packing list","Summer 20 ft. cont. packing list","Summer 20 ft. cont. packing list","Summer 20 ft. cont. packing list","Summer 20 ft. cont. packing list","Summer 20 ft. cont. packing list",Pre-order,0,15000,,21,,0,12500,,Used,No,afrikaanse-markt/summer-20-ft-cont-packing-list
"Bathrobe 20 kg",Adult,"Bathrobe 20kg.     2,80 €/kg","Peignoir 20kg.    2,80 €/kg","Badjas 20kg.     2,80 €/kg","Bathrobe good quality for shop with cream quality.<div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 20 kg. so the purchase per bag of 20 kg.&nbsp;</div><div>Price is 2,80 €/kg.</div>","Peignoir de bonne qualité pour le magasin avec qualité crème.<div>Peut être disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 20 kg. donc l'achat par sac de 20 kg.&nbsp;</div><div>Le prix est de 2,80 €/kg.</div>","Badjas van goede kwaliteit voor winkel met creme kwaliteit.<div>Kan beschikbaar voor verzendig of afhaling meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 20 kg. dus de aankoop per zak van 20 kg. &nbsp;</div><div>Prijs is 2,80 €/KG.</div>",Available,0,56.00,,21,,5,20,,Used,No,adult/bathrobe
"Kids winter boots 25 kg","Children's shoes/boots","Kids winter boots 25kg.     4,25 €/kg","Bottes d'hiver pour enfants 25kg.     4,25 €/kg","Jongeren winter laarzen 25kg.     4,25 €/kg","Kids winter shoes good quality for shopwith cream quality.<div>Can be available to ship or pick up three working days after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 4,25 €/kg.</div>","Chaussures d'hiver pour enfants de bonne qualité pour le magasinavec qualité crème.<div>Peut être disponible pour être expédié ou ramassé trois jours ouvrables après réception du paiement.</div><div>Le sac est de 25 kg. donc l'achat par sac de 25 kg.&nbsp;</div><div>Le prix est de 4,25 €/kg.</div>","Jongeren winter schoenen van goede kwaliteit voor winkelmet creme kwaliteit.<div>100% van het product is geschikt voor taxatie en verkoop in de winkel.<br /><div>Kan beschikbaar voor verzendig of afhaling een drie werkdagen na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg. &nbsp;</div><div>Prijs is 4,25 €/KG.</div></div>",Available,0,106.25,150.00,21,,55,25,,Used,No,children-shoes/winter-children-boots
"Ladies spring blouses 25 kg","Ladies clothing","Ladies spring blouses 25 kg. 5,00 €/kg","chemises printemps pour femmes 25 kg. 5,00 €/kg","Dames hemden lente 25 kg. 5,00 €/kg","This article contains different shirts for ladies.<div>They are all different sizes and models suitable for spring.</div><div>Available to ship or pick up, usually the same day after receipt of payment.</div><div>The bag is 25 kg. so the purchase per 25 kg bag.</div><div>Price is 5,00 €/kg.</div>","Cet article contient différentes chemises pour dames.<div>Ils sont tous de tailles et de modèles différents adaptés au printemps.</div><div>Disponible pour expédition ou ramassage, généralement le même jour après réception du paiement.</div><div>Le sac est en 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 5,00 €/kg.</div>","Dit artikel bevat verschillende hemden voor dames.&nbsp;<div>Het zijn allemaal verschillende maten en modellen geschikt voor de lente.</div><div>Beschikbaar om te verzenden of af te halen, meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 5,00 €/kg.</div>",Available,0,125.00,,21,,2,25,,Used,No,ladies-clothing/ladies-spring-blouses
"Ladies winter leggings & pants 25 kg","Ladies clothing","Ladies winter leggings & pants 25 kg. 5,40 €/kg","Leggings et pantalons d'hiver pour femme 25 kg. 5,40 €/kg","Dames winterlegging & broeken 25 kg. 5,40 €/kg","This article contains various winter leggings and slim pants for woman.&nbsp;<div>T<span style=\"font-size: 1em;\">hey are all different sizes and models.</span></div><div><span style=\"font-size: 1em;\">Can be available to ship or pick up usually the same day after receiving payment.</span></div><div><span style=\"font-size: 1em;\">The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</span></div><div><span style=\"font-size: 1em;\">Price is 5,40 €/kg.</span></div>","Cet article contient diverses leggings et pantalon slim d'hiver pour femmes.&nbsp;<div>Ils sont tous de tailles et de modèles différents.</div><div>Disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 25 kg. donc l'achat par sac de 25 kg.&nbsp;</div><div>Le prix est de 5,40 €/kg.</div>","Dit artikel bevat verschillende winterleggings en slim broeken voor dames.&nbsp;<div>Het zijn allemaal verschillende maten en modellen.</div><div>Is beschikbaar voor verzendig of afhaling, meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg. &nbsp;</div><div>Prijs is 5,40 €/KG.</div>",Available,0,135.00,,21,,4,25,,Used,No,ladies-clothing/ladies-winter-leggings-and-pants
"Ladies winter shoes 25 kg","Ladies shoes","Ladies winter shoes 25kg.      1,76 €/kg","Chaussures d'hiver pour dames 25kg.      1,76 €/kg","Dames winter schoenen 25kg.      1,76 €/kg","Ladies winter shoes good quality for shop with cream quality.<div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 1,76 €/kg.</div>","Chaussures d'hiver pour dames de bonne qualité pour le magasin avec qualité crème.<div>Peut être disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 25 kg. donc l'achat par sac de 25 kg.&nbsp;</div><div>Le prix est de 1,76 €/kg.</div>","Dames winter schoenen van goede kwaliteit voor winkel met creme kwaliteit.<div>Kan beschikbaar voor verzendig of afhaling meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg. &nbsp;</div><div>Prijs is 1,76 €/KG.</div>",Available,0,44.00,93.75,21,,84,25,,Used,No,sorted-items/winter-shoes/ladies-winter-shoes
"Men spring shirts 25 kg",Men,"Men spring shirts 25 kg. 6,00 €/kg","chemises printemps pour homme 25 kg. 6,00 €/kg","Heren hemden lente 25 kg. 6,00 €/kg","This article contains different shirts for men.<div>They are all different sizes and models suitable for spring.</div><div>Available to ship or pick up, usually the same day after receipt of payment.</div><div>The bag is 25 kg. so the purchase per 25 kg bag.</div><div>Price is 6,00 €/kg.</div>","Cet article contient différentes chemises pour homme.<div>Ils sont tous de tailles et de modèles différents adaptés au printemps.</div><div>Disponible pour expédition ou ramassage, généralement le même jour après réception du paiement.</div><div>Le sac est en 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 6,00 €/kg.</div>","Dit artikel bevat verschillende hemden voor heren.&nbsp;<div>Het zijn allemaal verschillende maten en modellen geschikt voor de lente.</div><div>Beschikbaar om te verzenden of af te halen, meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 6,00 €/kg.</div>",Available,0,150.00,,21,,2,25,,New,No,men/men-winter-shirts
"Men suits 25 Pcs.",Men,"Men suits 25 pcs. 7,00 €/pc","Costumes pour hommes 25 pcs. 7,00 €/pc","Maatpakken voor heren 25 pcs. 7,00 €/pc","This article contains various tailored suits for men.<div>They are all different sizes and models.</div><div>Available to ship or pick up, usually the same day after receipt of payment.</div><div>The bag is 25 pieces. so the purchase per 25 pieces bag.</div><div>Price is 7,00 €/piece.</div>","Cet article contient différents costumes sur mesure pour hommes.<div>Ils sont tous de tailles et de modèles différents.</div><div>Disponible pour expédition ou ramassage, généralement le même jour après réception du paiement.</div><div>Le sac est en 25 pièces. donc l'achat par sac de 25 pièces.</div><div>Le prix est de 7,00 €/pièce.</div>","Dit artikel bevat verschillende maatpakken voor heren.&nbsp;<div>Het zijn allemaal verschillende maten en modellen.</div><div>Beschikbaar om te verzenden of af te halen, meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 stuks. dus de aankoop per zak van 25 stuks.</div><div>Prijs is 7,00 €/stuk.</div>",Available,0,175.00,,21,,1,30,,Used,No,men/men-suits
"Men winter pants 25 kg","Men clothing","Men winter pants 25 kg. 4,00 €/kg","Pantalon d'hiver homme 25 kg. 4,00 €/kg","Winter mannen broeken 25 kg. 4,00 €/kg","This article contains various winter pants for men.&nbsp;<div>They are all different sizes and models.</div><div>Available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per 25 kg bag.&nbsp;</div><div>Price is 4,00 €/kg.</div>","Cet article contient différents pantalons d'hiver pour hommes.<div>Ils sont tous de tailles et de modèles différents.</div><div>Disponible pour expédier ou ramasser généralement le même jour après réception du paiement.</div><div>Le sac est en 25 kg. donc l'achat par sac de 25 kg.</div><div>Le prix est de 4,00 €/kg.</div>","<div>Dit artikel bevat verschillende winterbroeken voor heren.</div><div>Ze zijn allemaal verschillende maten en modellen.</div><div>Beschikbaar voor verzending of ophalen meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg.</div><div>Prijs is 4,00 €/kg.</div>",Available,0,100.00,,21,,1,25,,Used,No,men-clothing/men-winter-pants
"Onesie 20 kg",Adult,"Onesie 20kg.      1,55€/kg","Onesie 20kg.      1,55€/kg","Onesie 20kg.      1,55€/kg","<div>Onesie good quality for shop with cream quality.</div><div>Can be available to ship or pick up usually the same day after receiving payment.</div><div>The bag is 25 kg. so the purchase per bag of 25 kg.&nbsp;</div><div>Price is 1,55 €/kg.</div>","<div>Onsie de bonne qualité pour le magasin avec qualité crème.</div><div>Peut être disponible pour être expédié ou ramassé généralement le même jour après réception du paiement.</div><div>Le sac est de 25 kg. donc l'achat par sac de 25 kg.&nbsp;</div><div>Le prix est de 1,55 €/kg.</div>","<div>onesie van goede kwaliteit voor winkel met creme kwaliteit.</div><div>Kan beschikbaar voor verzendig of afhaling meestal dezelfde dag na ontvangst van betaling.</div><div>De zak is 25 kg. dus de aankoop per zak van 25 kg. &nbsp;</div><div>Prijs is 1,55 €/KG.</div>",Available,0,31.00,50.00,21,,20,20,,Used,No,adult/onesie-1-95eur/kg
